reference,date,libelle,montant
TX2026-001,2026-04-01,Virement client SARL ALPHA,5000.00
TX2026-002,2026-04-02,Loyer agence avril,-1500.00
TX2026-003,2026-04-03,Vente client SAS BETA,2400.00
TX2026-004,2026-04-04,EDF PRO ENERGIE,-240.50
TX2026-005,2026-04-05,Achat papeterie Bureau Vallee,-85.20
TX2026-006,2026-04-06,Virement client MAIRIE DE PARIS,8500.00
TX2026-007,2026-04-07,Abonnement Orange Mobile,-49.90
TX2026-008,2026-04-08,Frais de tenue de compte BNP,-15.00
TX2026-009,2026-04-09,Vente client BOULANGERIE DU PARC,120.00
TX2026-010,2026-04-10,Honoraires Cabinet Dupont Avocat,-1200.00
TX2026-011,2026-04-11,Virement client SARL TECHNO,3200.00
TX2026-012,2026-04-12,Achat MacBook Pro Apple Store,-2800.00
TX2026-013,2026-04-13,Facture AWS Cloud Services,-150.00
TX2026-014,2026-04-14,Assurance AXA RC Pro,-850.00
TX2026-015,2026-04-15,Virement salaire Imed,-2500.00
TX2026-016,2026-04-16,Cotisations URSSAF,-1100.00
TX2026-017,2026-04-17,Vente client GARAGE MARTIN,450.00
TX2026-018,2026-04-18,Achat fournitures Amazon,-120.00
TX2026-019,2026-04-19,Virement client HOTEL DU LAC,1200.00
TX2026-020,2026-04-20,Remboursement note de frais,-245.00
TX2026-021,2026-04-21,Virement client SAS INNOVATION,2400.00
TX2026-022,2026-04-22,Facture Google Workspace,-60.00
TX2026-023,2026-04-23,Taxe CFE Tresor Public,-450.00
TX2026-024,2026-04-24,Vente client CABINET MEDICAL,80.00
